Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,[Reporting Type]
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2000","41.45","2000","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2001","39.13","2001","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2002","35.9","2002","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2003","33.75","2003","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2004","35.94","2004","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2005","36.87","2005","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2006","31.71","2006","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2007","32.1","2007","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2008","35.91","2008","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2009","37.22","2009","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2010","37.12","2010","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2011","35.96","2011","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2012","40.05","2012","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","8","Albania","2013","41.29","2013","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","70","Bosnia and Herzegovina","2000","19.35","2000","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
"7","7.2","7.2.1","EG_FEC_RNEW","Renewable energy share in the total final energy consumption (%)","70","Bosnia and Herzegovina","2001","20.27","2001","Source: World Energy Balances, IEA (2017)","","E","PERCENT","G"
