"Interne Liste der ehemaligen Stellen f�r betreute praktische Studienprojekte (BPS) und Bachelorthesen (BT);;;;;;;;;"
";;;;;;;;;"
";;;;;;;;;"
"Stelle;Semester;Inhalte/Themen;Unternehmen;Ort/Kontaktadresse;;;;;",
"BT;WS0910;Die Lieferantennummerlogik bei Mercedes Benz PKW - Die Auswirkungen des derzeitigen Prozesses auf das Anlaufmanagement und bereichs�bergreifende Optimierungspotentiale;Daimler AG;T�binger Allee 2, 71065 Sindelfingen;;;;;",
"BPS;WS0708;SAP-Projekte;Bosch GmbH;Wernerstra�e 51, 70469 Stuttgart-Feuerbach;;;;;",
"BPS;WS0708;SAP-Prozesse Logistik;Bosch GmbH;Franz-Oechsle-Stra�e 4, 73207 Plochingen;;;;;",
"BPS;WS0708;;Institut Cartogr�fic de Catalunya;Parc de Montjuic, 08038 Barcelona, Spanien;;;;;",
"BPS;WS0708;SAP HR;Datenzentrale BW;Krailenhaldenstr. 44, 70469 Stuttgart-Feuerbach;;;;;",
"BPS;WS0708;Projektabwicklung und SAP ;Bosch Thermotechnik GmbH;Sophienstrasse 30-32, 35576 Wetzlar;;;;;",
"BPS;WS0708;Knowledge Management incl. Workflows;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;",
"BPS;WS0708;Warenfluss in der Marktbelieferung ;Kaufland Dienstleistung GmbH & Co. Kg;R�telstra�e 35, 74172 Neckarsulm;;;;;",
"BPS;WS0708;Anwendungssoftware in Logistik ;AEB-Ges. � Brachensoftware mbH ;Julius-H�lder-Str. 39, 70597 Stuttgart;;;;;",
"BPS;WS0708;;M-Way solutions GmbH ;Leitzstr. 45, 70469 Stuttgart;;;;;",
"BPS;WS0708;Logistikoptimierung, SCM Optimierung ;CAS;Wilhelm-Schickard-Str. 8-12, 76131 Karlsruhe;;;;;",
"BPS;WS0708;Multim. Inhalte von Navigationsger�ten, Pmanagement ;Falk Marco Polo interactive GmbH ;Marco-Polo-Str. 1, 73760 Ostfildern ;;;;;",
"BPS;WS0708;Markt- Wettbewerbsanalyse ;Fracht australia Pty Limited ;42 Concorde Drive, Keilor Park, VIC 3042, Melbourne, Australien;;;;;",
"BT;WS0809;Echtzeitortung mit Hilfe eines aktiven RFIDSystems am Beispiel der automatischen Steuerung einer Modelleisenbahn;HftT Stuttgart;Stuttgart;;;;;",
"BT;WS0809;New Generation Mobile Programming Platform Study Case: Mobile driver assistant for transport on-demand;Institut Cartogr�fic de Catalunya;Parc de Montjuic, 08038 Barcelona, Spanien;;;;;",
"BT;WS0809;Aufbereitung von Shuttle Radar Topography Mission Daten f�r die Nutzung als weltweites digitales Gel�ndemodell - Implementierung und Webservices;Geofabrik GmbH;Scheffelstra�e 17a, 76135 Karlsruhe;;;;;",
"BT;WS0809;Migration von Projektdaten in ein browserbasiertes Dokumentenmanagementsystems;;;;;;;",
"BT;WS0809;Gesch�ftsprozessoptimierung im Wissensmanagement - Modellierung und Optimierung eines Community-Prozesses;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;",
"BT;WS0809;Entwicklung von artikelbezogenen Dispositions- und Lieferkonzepten;Kaufland Dienstleistung GmbH & Co. Kg;R�telstra�e 35, 74172 Neckarsulm;;;;;",
